Company,Aviation,Engineering,Fire Domestic,Fire Industrial,Liability,Marine,Motor Private,Motor Commercial,Motor Commercial PSV,Personal Accident,Theft,Workmens' Compensation,Medical,Miscellaneous,Total,Unnamed: 17,quarter
APA INSURANCE LIMITED,146142.996,154835.032,46757.547,1086799.719,200769.126,108625.494,809829.3,817147.745,0.0,69113.758,138163.362,285271.474,3086652.84,122213.326,7072321.719,,Q1_2026
BRITAM GENERAL INSURANCE,102800.00614,279643.50174,64115.72694,541621.0879600003,189740.92138,136447.2346799999,581770.8991000016,214933.45159,0.0,99999.67003722752,53837.59247,297539.4894,2224467.040282249,28666.33536,4815582.957079479,,Q1_2026
BUPA GLOBAL INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2503251.726,0.0,2503251.726,,Q1_2026
CANNON GENERAL INSURANCE,0.0,16224.01178,4462.714,30727.725,12299.434,20559.229,304739.50636,84570.95219,0.0,5682.62,9829.838,41139.26,0.0,14123.126,544358.4163299999,,Q1_2026
CIC GENERAL INSURANCE COMPANY,0.0,50524.0628,41404.55065,181827.64218,81423.06483000002,12898.71621,1093604.58911,1004615.3717,0.0,160370.95515,405935.77806,231298.3174,4058650.782780002,90173.18485999998,7412727.015730002,,Q1_2026
DEFINITE ASSURANCE COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Q1_2026
DIRECTLINE ASSURANCE COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,111370.13722,36215.91434,610165.1075399994,0.0,0.0,0.0,0.0,0.0,757751.1590999995,,Q1_2026
EQUITY GENERAL INSURANCE LIMITED,0.0,24976.628,285.567,53862.87,81387.634,643.459,12977.982,0.0,0.0,263.398,419607.618,762.161,0.0,0.0,594767.317,,Q1_2026
EQUITY HEALTH INSURANCE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204994.17239,0.0,1204994.17239,,Q1_2026
FIDELITY SHIELD INSURANCE  ,119.264,32429.582,14939.301,163102.202,39739.639,51092.726,521508.87,337538.825,7480.934,3852.109,36140.312,133419.197,199207.06,64958.665,1605528.686,,Q1_2026
FIRST ASSURANCE COMPANY,0.0,82147.557,19853.919,252422.143,39420.442,43276.305,247272.986,186147.322,37581.828,35419.679,45761.411,11236.867,1177203.714,45820.874,2223565.047,,Q1_2026
GA INSURANCE COMPANY,205602.691,386125.692,78254.411,1682580.742,231520.884,233592.906,585771.389,562250.969,57373.475,54799.168,490394.818,625538.982,1964507.881,156594.904,7314908.912,,Q1_2026
GEMINIA INSURANCE COMPANY ,8359.125,44234.107,35066.492,262733.806,56930.361,58295.101,282010.166,341802.356,0.0,25450.944,97360.638,165732.982,0.0,26526.232,1404502.31,,Q1_2026
ICEA LION GENERAL INSURANCE,241110.311,60296.433,56763.71,504039.847,113913.818,53440.647,767980.345,258544.031,0.0,79863.764,72133.987,246397.661,270993.458,51445.72,2776923.732,,Q1_2026
INTRA-AFRICA ASSURANCE ,0.0,107425.24,33057.992,262257.119,18406.752,79217.704,281542.654,154963.934,25247.882,12110.053,48357.87,159849.936,0.0,166599.11,1349036.246,,Q1_2026
JUBILEE HEALTH INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4956327.1334643,0.0,4956327.1334643,,Q1_2026
KENINDIA ASSURANCE COMPANY ,0.0,88913.3,11729.334,333850.083,24053.069,48810.016,149076.128,137576.64,0.0,5418.792,89982.322,90486.31,43972.143,7020.67,1030888.807,,Q1_2026
KENYA ORIENT INSURANCE,0.0,21941.547,7665.824,34592.495,14005.39,317.785,91955.153,42337.981,2935.051,1538.949,44773.224,54995.661,0.0,133478.432,450537.492,,Q1_2026
MADISON INSURANCE COMPANY,0.0,61461.118,10161.392,177334.845,113351.891,12158.47,220806.674,1137233.43062,0.0,32981.553,126362.988,177931.388,1509588.76358,108282.79738,3687655.31058,,Q1_2026
MAYFAIR INSURANCE COMPANY,327291.502,291419.034,73600.533,1169122.183,108626.759,365636.729,328536.14,331913.044,11461.366,31419.978,155971.867,367109.916,0.0,378752.829,3940861.88,,Q1_2026
MUA INSURANCE COMPANY,2702.903,5831.291,2099.147,113726.24826,21126.951,36466.40622,87439.05965999998,16061.17828,0.0,740.804,2282.143,12706.625,344865.30675,6984.91341,653032.9765799999,,Q1_2026
NCBA INSURANCE COMPANY,0.0,6198.90883,31768.56088999999,241300.3971899999,301126.6492100001,18183.49311,334887.24819,97350.26962,0.0,54200.37011999942,12327.19959,68162.18,0.0,71.039,1165576.315749999,,Q1_2026
OCCIDENTAL INSURANCE COMPANY ,12448.842,37795.303,10069.333,99424.793,2884.827,23693.772,92846.347,148834.578,0.0,9235.463,25787.79,55007.79,0.0,22859.291,540888.129,,Q1_2026
OLD MUTUAL GENERAL INSURANCE ,82.0,331477.2633499998,78269.35171000003,475369.9109199999,141987.26878,45351.56030999999,540564.73075,512678.6136499998,0.0,35894.161839999,207368.4169499999,136295.41283,4715396.383319996,80257.92884000001,7300993.003249994,,Q1_2026
PACIS INSURANCE COMPANY,0.0,6292.291,6058.514,81297.018,4423.588,1869.936,219550.097,286244.621,23811.304,15794.789,16370.568,72754.564,654597.4202400001,1156.715,1390221.42524,,Q1_2026
PIONEER INSURANCE COMPANY,5863.487349,33510.517,7535.525,76535.428664,38242.28490999999,26526.0475,446635.355946,279760.240342,0.0,11236.368,13307.625,41630.044,0.0,21875.422,1002658.345711,,Q1_2026
SANLAM ALLIANZ GENERAL INSURANCE,0.0,78304.532,25829.741,926343.055,69008.325,62760.287,711940.311,459933.801,0.0,4619.931,191387.602,10480.141,0.0,0.0,2540607.726,,Q1_2026
STAR DISCOVER INSURANCE,42.9,13609.608,0.0,5606.428,312.8,331.371,15313.666,15297.681,0.0,337.625,343.575,6656.548,841982.81,7495.672,907330.684,,Q1_2026
